,amount,amountBTC,date,globalTradeID,rate,total,tradeID,type
0,1336.68395444,0.250066834197,2017-05-18 15:46:41,134574616,0.00018708,0.25006683,7193877,buy
1,1259.86904541,0.235671103634,2017-05-18 15:46:39,134574600,0.00018706,0.2356711,7193876,sell
2,28.00192115,0.00523831938953,2017-05-18 15:46:39,134574599,0.00018707,0.00523831,7193875,sell
3,2169.29789138,0.406179337182,2017-05-18 15:46:38,134574594,0.00018724,0.40617933,7193874,buy
4,500.78648328,0.093687135292,2017-05-18 15:46:38,134574593,0.00018708,0.09368713,7193873,buy
5,0.53999144,0.000101016198681,2017-05-18 15:46:38,134574592,0.00018707,0.00010101,7193872,sell
6,816.62842,0.152774844814,2017-05-18 15:46:34,134574570,0.00018708,0.15277484,7193871,buy
7,12.10967535,0.00226741561253,2017-05-18 15:46:32,134574564,0.00018724,0.00226741,7193870,buy
8,50.0,0.0093625,2017-05-18 15:46:31,134574563,0.00018725,0.0093625,7193869,buy
9,1612.59868,0.30195910283,2017-05-18 15:46:31,134574560,0.00018725,0.3019591,7193868,buy
10,1600.11588783,0.299621699996,2017-05-18 15:46:31,134574558,0.00018725,0.29962169,7193867,buy
11,1194.95120745,0.223754613595,2017-05-18 15:46:31,134574557,0.00018725,0.22375461,7193866,buy
12,5000.0,0.93625,2017-05-18 15:46:31,134574556,0.00018725,0.93625,7193865,buy
13,188.93292064,0.0353776893898,2017-05-18 15:46:31,134574555,0.00018725,0.03537768,7193864,buy
14,5531.03154674,1.03435820956,2017-05-18 15:46:29,134574531,0.00018701,1.0343582,7193863,sell
15,1.0,0.00018707,2017-05-18 15:46:29,134574530,0.00018707,0.00018707,7193862,sell
16,888.01876303,0.16612167,2017-05-18 15:46:29,134574529,0.00018707,0.16612167,7193861,sell
17,500.76771363,0.0936836238659,2017-05-18 15:46:29,134574528,0.00018708,0.09368362,7193860,sell
18,0.01918965,3.589999722e-06,2017-05-18 15:46:26,134574518,0.00018708,3.58e-06,7193859,sell
19,816.628,0.15277476624,2017-05-18 15:46:26,134574517,0.00018708,0.15277476,7193858,sell
20,0.00047279,8.85299275e-08,2017-05-18 15:46:25,134574505,0.00018725,8e-08,7193857,buy
21,9420.86500224,1.76415118032,2017-05-18 15:46:22,134574484,0.00018726,1.76415118,7193856,buy
22,1258.90217883,0.23561613179,2017-05-18 15:46:22,134574483,0.00018716,0.23561613,7193855,buy
23,0.09356996,1.75125537136e-05,2017-05-18 15:46:22,134574461,0.00018716,1.751e-05,7193854,buy
24,37.06541747,0.00693716353369,2017-05-18 15:46:20,134574459,0.00018716,0.00693716,7193853,buy
25,1232.021359,0.230708319686,2017-05-18 15:46:18,134574452,0.00018726,0.23070831,7193852,buy
26,817.12727855,0.152868171271,2017-05-18 15:46:18,134574450,0.00018708,0.15286817,7193851,sell
27,11396.34548417,2.13407965537,2017-05-18 15:46:17,134574446,0.00018726,2.13407965,7193850,buy
28,1517.95850334,0.28423772975,2017-05-18 15:46:17,134574445,0.00018725,0.28423772,7193849,buy
29,20289.44779784,3.79919910015,2017-05-18 15:46:17,134574444,0.00018725,3.7991991,7193848,buy
30,1067.80565936,0.199946609715,2017-05-18 15:46:15,134574418,0.00018725,0.1999466,7193847,buy
31,1601.96507716,0.299983980349,2017-05-18 15:46:14,134574411,0.00018726,0.29998398,7193846,buy
32,8376.32130269,1.56645584682,2017-05-18 15:46:13,134574409,0.00018701,1.56645584,7193845,sell
33,59.3044865,0.0110905320204,2017-05-18 15:46:13,134574408,0.00018701,0.01109053,7193844,sell
34,1336.68395444,0.249999999999,2017-05-18 15:46:13,134574407,0.00018703,0.24999999,7193843,sell
35,1200.0,0.22446,2017-05-18 15:46:13,134574406,0.00018705,0.22446,7193842,sell
36,850.48040631,0.15908236,2017-05-18 15:46:13,134574405,0.00018705,0.15908236,7193841,sell
37,210.78257151,0.0394268800009,2017-05-18 15:46:13,134574404,0.00018705,0.03942688,7193840,sell
38,297.52814454,0.0556585899991,2017-05-18 15:46:13,134574403,0.00018707,0.05565858,7193839,sell
39,519.59913401,0.0972014099993,2017-05-18 15:46:13,134574402,0.00018707,0.0972014,7193838,sell
40,1882.26566565,0.35247306855,2017-05-18 15:46:12,134574390,0.00018726,0.35247306,7193837,buy
41,45.60161824,0.00853935903162,2017-05-18 15:46:12,134574388,0.00018726,0.00853935,7193836,buy
42,158.89372497,0.0297528500006,2017-05-18 15:46:10,134574374,0.00018725,0.02975285,7193835,sell
43,11257.35234753,2.10816437412,2017-05-18 15:46:01,134574291,0.00018727,2.10816437,7193834,buy
44,1586.17970449,0.29704387326,2017-05-18 15:46:01,134574290,0.00018727,0.29704387,7193833,buy
45,1295.99192187,0.242570808016,2017-05-18 15:46:01,134574289,0.00018717,0.2425708,7193832,buy
46,4.95725473,0.000927353642341,2017-05-18 15:46:01,134574288,0.00018707,0.00092735,7193831,buy
47,1999.99998546,0.37413999728,2017-05-18 15:46:01,134574287,0.00018707,0.37413999,7193830,buy
48,0.00010692,1.9999386e-08,2017-05-18 15:46:01,134574286,0.00018705,1e-08,7193829,buy
49,21.53750335,0.00402859000162,2017-05-18 15:46:00,134574273,0.00018705,0.00402859,7193828,sell
50,0.00010692,1.9999386e-08,2017-05-18 15:45:58,134574262,0.00018705,1e-08,7193827,sell
51,1.454e-05,2.7199978e-09,2017-05-18 15:45:56,134574254,0.00018707,0.0,7193826,buy
52,0.00010692,1.9999386e-08,2017-05-18 15:45:53,134574240,0.00018705,1e-08,7193825,sell
53,30.0,0.0056115,2017-05-18 15:45:52,134574226,0.00018705,0.0056115,7193824,sell
54,0.00076193,1.426942504e-07,2017-05-18 15:45:52,134574225,0.00018728,1.4e-07,7193823,buy
55,0.00106824,2.000599872e-07,2017-05-18 15:45:51,134574219,0.00018728,2e-07,7193822,buy
56,0.47788651,8.93599985049e-05,2017-05-18 15:45:51,134574207,0.00018699,8.935e-05,7193821,sell
57,28857.49864036,5.40385519539,2017-05-18 15:45:50,134574205,0.00018726,5.40385519,7193820,buy
58,1000.0,0.1872,2017-05-18 15:45:50,134574204,0.0001872,0.1872,7193819,buy
59,1296.19967725,0.242570807601,2017-05-18 15:45:50,134574203,0.00018714,0.2425708,7193818,buy
60,3486.55790712,0.652230387685,2017-05-18 15:45:50,134574202,0.00018707,0.65223038,7193817,buy
61,131.01297507,0.0245085972463,2017-05-18 15:45:50,134574201,0.00018707,0.02450859,7193816,buy
62,9238.81851629,1.72821339166,2017-05-18 15:45:50,134574200,0.00018706,1.72821339,7193815,buy
63,5347.87956576,1.0000534788,2017-05-18 15:45:50,134574199,0.000187,1.00005347,7193814,buy
64,5424.81638984,1.0144406649,2017-05-18 15:45:50,134574198,0.000187,1.01444066,7193813,buy
65,552.33224773,0.103286130326,2017-05-18 15:45:50,134574187,0.000187,0.10328613,7193812,buy
66,0.00063066,1.1793342e-07,2017-05-18 15:45:50,134574173,0.000187,1.1e-07,7193811,buy
67,499.92734951,0.0934864143584,2017-05-18 15:45:49,134574171,0.000187,0.09348641,7193810,buy
68,0.14161185,2.64799998315e-05,2017-05-18 15:45:48,134574168,0.00018699,2.647e-05,7193809,sell
69,2032.51216216,0.380059449202,2017-05-18 15:45:45,134574146,0.00018699,0.38005944,7193808,sell
70,0.00087326,1.63343283e-07,2017-05-18 15:45:39,134574084,0.00018705,1.6e-07,7193807,buy
71,121.07205241,0.0226392630801,2017-05-18 15:45:36,134574060,0.00018699,0.02263926,7193806,sell
72,293.81911426,0.0549618035135,2017-05-18 15:45:33,134574037,0.00018706,0.0549618,7193805,buy
73,5875.65328663,1.10045110405,2017-05-18 15:45:32,134574033,0.00018729,1.1004511,7193804,buy
74,1336.60814784,0.250319973927,2017-05-18 15:45:32,134574032,0.00018728,0.25031997,7193803,buy
75,795.85345528,0.148975808294,2017-05-18 15:45:32,134574031,0.00018719,0.1489758,7193802,buy
76,7428.78324494,1.38910817897,2017-05-18 15:45:31,134574028,0.00018699,1.38910817,7193801,sell
77,2594.04789208,0.48506101534,2017-05-18 15:45:31,134574027,0.00018699,0.48506101,7193800,sell
78,1.95284935,0.00036518282845,2017-05-18 15:45:31,134574026,0.000187,0.00036518,7193799,sell
79,1767.5444385,0.33053081,2017-05-18 15:45:31,134574025,0.000187,0.3305308,7193798,sell
80,1003.36233121,0.187628755936,2017-05-18 15:45:31,134574024,0.000187,0.18762875,7193797,sell
81,8329.73262033,1.55766,2017-05-18 15:45:31,134574023,0.000187,1.55766,7193796,sell
82,50.11737968,0.00937195000016,2017-05-18 15:45:31,134574022,0.000187,0.00937195,7193795,sell
83,56.48647059,0.0105629700003,2017-05-18 15:45:30,134574021,0.000187,0.01056297,7193794,sell
84,133.66839544,0.0249999999991,2017-05-18 15:45:30,134574020,0.00018703,0.02499999,7193793,sell
85,266.93316581,0.0499245100014,2017-05-18 15:45:30,134574019,0.00018703,0.04992451,7193792,sell
86,133.66839544,0.0249999999991,2017-05-18 15:45:30,134574018,0.00018703,0.02499999,7193791,sell
87,8421.79478982,1.57512827954,2017-05-18 15:45:30,134574017,0.00018703,1.57512827,7193790,sell
88,23261.28765685,4.35055863046,2017-05-18 15:45:26,134574005,0.00018703,4.35055863,7193789,sell
89,40.0,0.007482,2017-05-18 15:45:25,134574004,0.00018705,0.007482,7193788,sell
90,12300.0,2.300715,2017-05-18 15:45:25,134574003,0.00018705,2.300715,7193787,sell
91,17.45629511,0.00326520000033,2017-05-18 15:45:25,134574002,0.00018705,0.0032652,7193786,sell
92,13.33199678,0.0024937499977,2017-05-18 15:45:25,134574001,0.00018705,0.00249374,7193785,sell
93,5332.79871691,0.997499999998,2017-05-18 15:45:25,134574000,0.00018705,0.99749999,7193784,sell
94,5661.98005987,1.05912999,2017-05-18 15:45:25,134573999,0.00018706,1.05912998,7193783,sell
95,47759.43726611,8.933880335,2017-05-18 15:45:25,134573998,0.00018706,8.93388033,7193782,sell
96,880.35181225,0.164678609999,2017-05-18 15:45:25,134573997,0.00018706,0.1646786,7193781,sell
97,5413.94349709,1.01278641,2017-05-18 15:45:25,134573996,0.00018707,1.01278641,7193780,sell
98,59.3523149,0.0111030375483,2017-05-18 15:45:25,134573995,0.00018707,0.01110303,7193779,sell
99,3427.20559222,0.641127350137,2017-05-18 15:45:25,134573994,0.00018707,0.64112735,7193778,sell
100,500.0,0.093595,2017-05-18 15:45:23,134573946,0.00018719,0.093595,7193777,buy
101,0.01177457,2.2052592153e-06,2017-05-18 15:45:18,134573897,0.00018729,2.2e-06,7193776,buy
102,1000.0,0.18729,2017-05-18 15:45:15,134573878,0.00018729,0.18729,7193775,buy
103,665.6034851,0.124660876724,2017-05-18 15:45:13,134573866,0.00018729,0.12466087,7193774,buy
104,773.21911337,0.144646099538,2017-05-18 15:45:11,134573825,0.00018707,0.14464609,7193773,sell
105,49.99529612,0.00935311999813,2017-05-18 15:45:11,134573824,0.00018708,0.00935311,7193772,sell
106,0.00470387,8.799999996e-07,2017-05-18 15:45:10,134573820,0.00018708,8.7e-07,7193771,sell
107,58.16428896,0.0108807935357,2017-05-18 15:45:06,134573805,0.00018707,0.01088079,7193770,sell
108,211.39805005,0.0395948547744,2017-05-18 15:45:04,134573795,0.0001873,0.03959485,7193769,buy
